Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-01-02,1.04679,117.456,1.0233,1.2293,1.3425,0.85143,122.9,1.07124,0.7186,144.31,114.66,1.25796,0.692
2017-01-03,1.04134,117.562,1.02654,1.22409,1.34294,0.85057,122.414,1.06913,0.72245,143.916,114.502,1.25666,0.69229
2017-01-04,1.04657,117.532,1.02274,1.23054,1.33187,0.85038,123.016,1.07043,0.7267,144.649,114.89,1.2587,0.69419
2017-01-05,1.0589,115.665,1.01096,1.24076,1.3241,0.8534,122.507,1.07067,0.73367,143.51,114.407,1.25437,0.70199
2017-01-06,1.05315,117.04,1.01722,1.2284,1.3233,0.85712,123.265,1.07132,0.73042,143.777,115.17,1.24979,0.69652
2017-01-09,1.05649,116.156,1.0158,1.21543,1.32276,0.86913,122.72,1.0729,0.7354,141.183,114.34,1.2344,0.70134
2017-01-10,1.05582,115.743,1.01654,1.21634,1.3224,0.86795,122.211,1.07329,0.7365,140.784,113.85,1.23647,0.69899
2017-01-11,1.0575,115.465,1.01498,1.2206,1.3169,0.86632,122.098,1.07331,0.74455,140.91,113.75,1.23892,0.7049
2017-01-12,1.06171,114.599,1.0104,1.21621,1.31357,0.87286,121.673,1.07285,0.74869,139.386,113.395,1.22905,0.7107
2017-01-13,1.06455,114.533,1.00851,1.21843,1.31225,0.87365,121.918,1.07374,0.74973,139.547,113.542,1.2287,0.71248
2017-01-16,1.05967,114.068,1.0119,1.20541,1.3162,0.87897,120.876,1.07224,0.74721,137.506,112.7,1.21975,0.70954
2017-01-17,1.0704,112.675,1.0022,1.24014,1.3051,0.86319,120.67,1.0727,0.75614,139.787,112.44,1.24302,0.72038
2017-01-18,1.06397,114.252,1.00655,1.22633,1.32598,0.86749,121.557,1.07098,0.75128,140.115,113.5,1.23434,0.71394
2017-01-19,1.06591,114.845,1.00694,1.23318,1.3319,0.86431,122.41,1.0733,0.75541,141.6,114.02,1.2417,0.71835
2017-01-20,1.06907,114.58,1.00271,1.23636,1.33266,0.8645,122.492,1.07194,0.75492,141.662,114.234,1.2395,0.71626
